Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PAN,171536,314680,737,7940,323357,682631,171536,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI,20162,314680,737,7940,323357,682631,20162,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PRD,4513,314680,737,7940,323357,682631,4513,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PVEM,4859,314680,737,7940,323357,682631,4859,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PT,3488,314680,737,7940,323357,682631,3488,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,MC,13612,314680,737,7940,323357,682631,13612,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,MORENA,73849,314680,737,7940,323357,682631,73849,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PLA,6254,314680,737,7940,323357,682631,6254,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PANALA,2408,314680,737,7940,323357,682631,2408,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PES,3149,314680,737,7940,323357,682631,3149,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,RSP,1322,314680,737,7940,323357,682631,1322,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,FXM,7805,314680,737,7940,323357,682631,7805,No
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PAN_PRD,903,314680,737,7940,323357,682631,176952,Sí
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PT_MORENA_PANALA,345,314680,737,7940,323357,682631,80090,Sí
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PT_MORENA,380,314680,737,7940,323357,682631,77717,Sí
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,PT_PANALA,17,314680,737,7940,323357,682631,5913,Sí
2021,1,AGUASCALIENTES,1,AGUASCALIENTES,MORENA_PANALA,78,314680,737,7940,323357,682631,76335,Sí
2021,1,AGUASCALIENTES,2,ASIENTOS,PAN,7331,23395,1,476,23872,36221,7331,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PRI,641,23395,1,476,23872,36221,641,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PRD,465,23395,1,476,23872,36221,465,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PVEM,252,23395,1,476,23872,36221,252,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PT,514,23395,1,476,23872,36221,514,No
2021,1,AGUASCALIENTES,2,ASIENTOS,MC,335,23395,1,476,23872,36221,335,No
2021,1,AGUASCALIENTES,2,ASIENTOS,MORENA,12586,23395,1,476,23872,36221,12586,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PLA,79,23395,1,476,23872,36221,79,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PANALA,336,23395,1,476,23872,36221,336,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PES,183,23395,1,476,23872,36221,183,No
2021,1,AGUASCALIENTES,2,ASIENTOS,RSP,357,23395,1,476,23872,36221,357,No
2021,1,AGUASCALIENTES,2,ASIENTOS,FXM,273,23395,1,476,23872,36221,273,No
2021,1,AGUASCALIENTES,2,ASIENTOS,PAN_PRD,43,23395,1,476,23872,36221,7839,Sí
2021,1,AGUASCALIENTES,3,CALVILLO,PAN,10229,24066,31,821,24918,48366,10229,No
2021,1,AGUASCALIENTES,3,CALVILLO,PRI,1444,24066,31,821,24918,48366,1444,No
2021,1,AGUASCALIENTES,3,CALVILLO,PRD,293,24066,31,821,24918,48366,293,No
2021,1,AGUASCALIENTES,3,CALVILLO,PVEM,626,24066,31,821,24918,48366,626,No
2021,1,AGUASCALIENTES,3,CALVILLO,PT,297,24066,31,821,24918,48366,297,No
2021,1,AGUASCALIENTES,3,CALVILLO,MC,620,24066,31,821,24918,48366,620,No
2021,1,AGUASCALIENTES,3,CALVILLO,MORENA,4256,24066,31,821,24918,48366,4256,No
2021,1,AGUASCALIENTES,3,CALVILLO,PLA,3284,24066,31,821,24918,48366,3284,No
2021,1,AGUASCALIENTES,3,CALVILLO,PANALA,648,24066,31,821,24918,48366,648,No
2021,1,AGUASCALIENTES,3,CALVILLO,PES,179,24066,31,821,24918,48366,179,No
2021,1,AGUASCALIENTES,3,CALVILLO,RSP,130,24066,31,821,24918,48366,130,No
2021,1,AGUASCALIENTES,3,CALVILLO,FXM,2014,24066,31,821,24918,48366,2014,No
2021,1,AGUASCALIENTES,3,CALVILLO,PAN_PRD,46,24066,31,821,24918,48366,10568,Sí
2021,1,AGUASCALIENTES,4,COSIO,PAN,2219,9212,0,223,9435,12212,2219,No
2021,1,AGUASCALIENTES,4,COSIO,PRI,2293,9212,0,223,9435,12212,2293,No
2021,1,AGUASCALIENTES,4,COSIO,PRD,96,9212,0,223,9435,12212,96,No
2021,1,AGUASCALIENTES,4,COSIO,PVEM,3187,9212,0,223,9435,12212,3187,No
2021,1,AGUASCALIENTES,4,COSIO,PT,747,9212,0,223,9435,12212,747,No
2021,1,AGUASCALIENTES,4,COSIO,MC,337,9212,0,223,9435,12212,337,No
2021,1,AGUASCALIENTES,4,COSIO,MORENA,151,9212,0,223,9435,12212,151,No
2021,1,AGUASCALIENTES,4,COSIO,PLA,10,9212,0,223,9435,12212,10,No
2021,1,AGUASCALIENTES,4,COSIO,PANALA,131,9212,0,223,9435,12212,131,No
2021,1,AGUASCALIENTES,4,COSIO,PES,18,9212,0,223,9435,12212,18,No
2021,1,AGUASCALIENTES,4,COSIO,RSP,4,9212,0,223,9435,12212,4,No
2021,1,AGUASCALIENTES,4,COSIO,FXM,5,9212,0,223,9435,12212,5,No
2021,1,AGUASCALIENTES,4,COSIO,PAN_PRD,14,9212,0,223,9435,12212,2329,Sí
2021,1,AGUASCALIENTES,5,JESUS MARIA,PAN,22135,43724,25,813,44562,88247,22135,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PRI,3756,43724,25,813,44562,88247,3756,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PRD,393,43724,25,813,44562,88247,393,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PVEM,846,43724,25,813,44562,88247,846,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PT,794,43724,25,813,44562,88247,794,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,MC,468,43724,25,813,44562,88247,468,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,MORENA,11477,43724,25,813,44562,88247,11477,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PLA,373,43724,25,813,44562,88247,373,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PANALA,444,43724,25,813,44562,88247,444,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PES,1413,43724,25,813,44562,88247,1413,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,RSP,282,43724,25,813,44562,88247,282,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,FXM,1102,43724,25,813,44562,88247,1102,No
2021,1,AGUASCALIENTES,5,JESUS MARIA,PAN_PRD,81,43724,25,813,44562,88247,22609,Sí
2021,1,AGUASCALIENTES,5,JESUS MARIA,PT_MORENA_PANALA,48,43724,25,813,44562,88247,12763,Sí
2021,1,AGUASCALIENTES,5,JESUS MARIA,PT_MORENA,77,43724,25,813,44562,88247,12348,Sí
