Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PAN,5487,16005,9,534,16548,37810,5487,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PRI,984,16005,9,534,16548,37810,984,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PRD,145,16005,9,534,16548,37810,145,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PT,803,16005,9,534,16548,37810,803,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PVEM,392,16005,9,534,16548,37810,392,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,MC,215,16005,9,534,16548,37810,215,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,MORENA,963,16005,9,534,16548,37810,963,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,PLA,2094,16005,9,534,16548,37810,2094,No
2019,1,AGUASCALIENTES,7,RINCON DE ROMOS,NAA,4922,16005,9,534,16548,37810,4922,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,PAN,2573,5008,3,69,5080,6952,2573,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,PRI,240,5008,3,69,5080,6952,240,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,PT,637,5008,3,69,5080,6952,637,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,PVEM,45,5008,3,69,5080,6952,45,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,MORENA,1289,5008,3,69,5080,6952,1289,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,UPM,33,5008,3,69,5080,6952,33,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,PLA,21,5008,3,69,5080,6952,21,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,NAA,76,5008,3,69,5080,6952,76,No
2019,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,Candidatura Independiente,94,5008,3,69,5080,6952,94,No
2019,1,AGUASCALIENTES,9,TEPEZALA,PAN,2609,10783,2,227,11012,15551,2609,No
2019,1,AGUASCALIENTES,9,TEPEZALA,PRI,2376,10783,2,227,11012,15551,2376,No
2019,1,AGUASCALIENTES,9,TEPEZALA,PRD,1607,10783,2,227,11012,15551,1607,No
2019,1,AGUASCALIENTES,9,TEPEZALA,PT,94,10783,2,227,11012,15551,94,No
2019,1,AGUASCALIENTES,9,TEPEZALA,PVEM,3281,10783,2,227,11012,15551,3281,No
2019,1,AGUASCALIENTES,9,TEPEZALA,MORENA,761,10783,2,227,11012,15551,761,No
2019,1,AGUASCALIENTES,9,TEPEZALA,NAA,55,10783,2,227,11012,15551,55,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PAN,2592,13421,13,511,13945,33855,2592,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PRI,4555,13421,13,511,13945,33855,4555,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PRD,145,13421,13,511,13945,33855,145,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PT,1606,13421,13,511,13945,33855,1606,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PVEM,211,13421,13,511,13945,33855,211,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,MC,156,13421,13,511,13945,33855,156,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,MORENA,3577,13421,13,511,13945,33855,3577,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,UPM,65,13421,13,511,13945,33855,65,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,PLA,102,13421,13,511,13945,33855,102,No
2019,1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,NAA,412,13421,13,511,13945,33855,412,No
2019,1,AGUASCALIENTES,11,EL LLANO,PAN,511,10322,0,284,10606,15183,511,No
2019,1,AGUASCALIENTES,11,EL LLANO,PRI,1906,10322,0,284,10606,15183,1906,No
2019,1,AGUASCALIENTES,11,EL LLANO,PRD,1668,10322,0,284,10606,15183,1668,No
2019,1,AGUASCALIENTES,11,EL LLANO,PT,2684,10322,0,284,10606,15183,2684,No
2019,1,AGUASCALIENTES,11,EL LLANO,PVEM,55,10322,0,284,10606,15183,55,No
