Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,Coalición
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PAN,117189,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI,81101,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PRD,11443,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PT,2721,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PVEM,4995,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,MC,6215,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,NUAL,6143,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,MORENA,10153,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,ES,4401,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI_PT_NVA_ALIANZA,397,285784,196,7808,293788,606018,Sí
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI_PT,1652,285784,196,7808,293788,606018,Sí
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI_NVA_ALIANZA,236,285784,196,7808,293788,606018,Sí
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,PT_NVA_ALIANZA,29,285784,196,7808,293788,606018,Sí
2016,1,AGUASCALIENTES,1,AGUASCALIENTES,Candidatura Independiente,39108,285784,196,7808,293788,606018,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PAN,7130,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PRI,3624,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PRD,278,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PT,137,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PVEM,514,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,MC,299,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,NUAL,7774,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,MORENA,366,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,ES,323,20692,9,614,21315,32191,No
2016,1,AGUASCALIENTES,2,ASIENTOS,PRI_PT_NVA_ALIANZA,25,20692,9,614,21315,32191,Sí
2016,1,AGUASCALIENTES,2,ASIENTOS,PRI_PT,21,20692,9,614,21315,32191,Sí
2016,1,AGUASCALIENTES,2,ASIENTOS,PRI_NVA_ALIANZA,185,20692,9,614,21315,32191,Sí
2016,1,AGUASCALIENTES,2,ASIENTOS,PT_NVA_ALIANZA,16,20692,9,614,21315,32191,Sí
2016,1,AGUASCALIENTES,3,CALVILLO,PAN,12334,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,PRI,6178,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,PRD,2048,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,PT,543,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,PVEM,647,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,MC,356,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,NUAL,472,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,MORENA,326,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,ES,420,23412,12,705,24129,44001,No
2016,1,AGUASCALIENTES,3,CALVILLO,PRI_PT_NVA_ALIANZA,20,23412,12,705,24129,44001,Sí
2016,1,AGUASCALIENTES,3,CALVILLO,PRI_PT,55,23412,12,705,24129,44001,Sí
