Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,C_COMUN_PAN_PRD_PRS_PHBCS,7434,31435,3,1333,32771,53666,7434,Sí
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,PRI,7823,31435,3,1333,32771,53666,7823,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,PT,422,31435,3,1333,32771,53666,422,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,PVEM,229,31435,3,1333,32771,53666,229,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,MC,234,31435,3,1333,32771,53666,234,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,NUAL,268,31435,3,1333,32771,53666,268,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,MORENA,9624,31435,3,1333,32771,53666,9624,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,ES,633,31435,3,1333,32771,53666,633,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,BCSC,208,31435,3,1333,32771,53666,208,No
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,MORENA_ES,464,31435,3,1333,32771,53666,10721,Sí
2018,3,BAJA CALIFORNIA SUR,1,COMONDU,Candidatura Independiente,4096,31435,3,1333,32771,53666,4096,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,C_COMUN_PAN_PRD_PRS_PHBCS,7923,23773,3,954,24730,41048,7923,Sí
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,PRI,655,23773,3,954,24730,41048,655,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,PT,0,23773,3,954,24730,41048,0,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,PVEM,0,23773,3,954,24730,41048,0,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,MC,133,23773,3,954,24730,41048,133,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,NUAL,8393,23773,3,954,24730,41048,8393,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,MORENA,5992,23773,3,954,24730,41048,5992,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,ES,357,23773,3,954,24730,41048,357,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,BCSC,110,23773,3,954,24730,41048,110,No
2018,3,BAJA CALIFORNIA SUR,2,MULEGE,MORENA_ES,210,23773,3,954,24730,41048,6559,Sí
2018,3,BAJA CALIFORNIA SUR,3,LA PAZ,C_COMUN_PAN_PRD_PRS_PHBCS,37409,118302,146,4746,123194,203030,37409,Sí
2018,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI,12287,118302,146,4746,123194,203030,12287,No
2018,3,BAJA CALIFORNIA SUR,3,LA PAZ,PT,2277,118302,146,4746,123194,203030,2277,No
2018,3,BAJA CALIFORNIA SUR,3,LA PAZ,PVEM,5467,118302,146,4746,123194,203030,5467,No
2018,3,BAJA CALIFORNIA SUR,3,LA PAZ,MC,3970,118302,146,4746,123194,203030,3970,No
