ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,MORENA,NAO,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PAN_PRI_PRD_NAO,PAN_PRI_PRD_1,PAN_PRI_NAO,PAN_PRD_NAO,PRI_PRD_NAO,PAN_PRI_1,PAN_PRD_1,PAN_NAO,PRI_PRD_1,PRI_NAO,PRD_NAO,PAN_PRI_NAO_1,PAN_PRI_2,PAN_NAO_1,PRI_NAO_1,PAN_PRI_PRD_2,PAN_PRI_3,PAN_PRD_2,PRI_PRD_2,PRI_PRD_NAO_1,PRI_PRD_3,PRI_NAO_2,PRD_NAO_1,PAN_PRD_NAO_1,PAN_PRD_3,PAN_NAO_2,PRD_NAO_2,PAN_PRI_4,PAN_PRD_4,PAN_NAO_3,PRI_PRD_4,PRI_NAO_3,PRD_NAO_3,PT_PVEM,PVEM_NAO,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,PT_PVEM_PUP_MORENA,PT_PVEM_PUP,PT_PVEM_MORENA,PT_PUP_MORENA,PVEM_PUP_MORENA,PT_PVEM_1,PT_PUP,PT_MORENA,PVEM_PUP,PVEM_MORENA,PUP_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,65,521,6181,317,71,244,178,0,15151,140,584,0,566,192,56,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,24225,13,489,24727,32526,
20,OAXACA,24,COSOLAPA,10,17,381,5659,181,43,42,82,20,863,17,27,32,20,279,49,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,7720,0,465,8185,10082,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,7,1187,12,5,9,0,0,1287,2,16,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2535,0,15,2550,3232,
20,OAXACA,170,SAN JOSE TENANGO,16,27,615,3613,443,286,3930,0,433,36,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9450,0,215,9665,12181,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,57,446,10627,111,0,106,274,0,9191,83,93,266,158,170,228,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,21783,0,266,22049,27931,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,17,87,1510,102,23,23,75,1059,3206,0,111,0,0,43,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,6243,0,138,6381,7808,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,75,205,1082,9455,231,373,982,10081,827,25699,12362,625,0,4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,66976,8,1543,68527,116540,
20,OAXACA,11,AYOTZINTEPEC,2,8,21,559,70,14,327,0,4,868,83,683,13,22,51,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2741,0,94,2835,4094,
20,OAXACA,44,LOMA BONITA,32,60,762,2975,8086,100,109,86,60,1537,2111,1062,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,17212,1,596,17809,29555,
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,36,158,4942,42,4027,26,62,258,6446,317,31,327,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,16670,0,227,16897,20056,
20,OAXACA,133,SAN FELIPE USILA,5,18,1792,354,59,1492,1,183,1347,2628,5,4,16,0,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,7899,0,39,7938,9077,
20,OAXACA,164,SAN JOSE CHILTEPEC,6,14,208,928,186,81,20,0,418,976,1671,39,1603,268,72,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,6486,0,196,6682,8618,
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,4,108,519,29,0,4,785,1,156,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1608,0,13,1621,1800,
20,OAXACA,232,SAN LUCAS OJITLAN,12,32,2932,755,272,54,13,77,0,5345,3551,22,89,4,65,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,13204,0,186,13390,16001,
20,OAXACA,418,SANTA MARIA JACATEPEC,6,14,169,544,494,48,11,172,0,269,958,2389,334,2,69,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,5475,9,173,5657,7413,
20,OAXACA,38,HUAUTEPEC,4,8,3,1169,8,0,24,20,12,1913,13,19,303,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3491,0,74,3565,4329,
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,42,357,2258,5030,47,967,264,68,5272,1166,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,15687,1,503,16191,22172,
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,5,9,219,8,263,261,5,0,352,688,394,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2300,0,45,2345,2875,
