ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,156,TANTOYUCA,60,126,22687,1586,405,1157,593,233,16655,469,572,,207,,,271,,,,,208,39,78,42,,,,,,,,,,,,,,,45202,17,1111,46330,70715,
30,VERACRUZ,210,TATAHUICAPAN DE JUAREZ,8,20,39,2173,1304,35,,75,2888,96,29,,914,69,112,,,,,,,,,,,,,,,,,,,,,,,,7734,,273,8007,11651,
30,VERACRUZ,157,TATATILA,4,9,252,910,17,26,87,970,363,32,7,15,545,,,,28,10,10,3,11,1,1,6,,,,,,,,,,,,,,,3294,0,55,3349,4047,
30,VERACRUZ,158,TECOLUTLA,28,46,3195,935,2591,1546,84,531,1729,115,386,,111,,246,616,,,,,43,8,43,4,,,,,,,,,,,,,,,12183,0,297,12480,19293,
30,VERACRUZ,159,TEHUIPANGO,7,28,4915,3252,45,1331,485,1436,185,,385,,9,364,,,,,,,,,,,,,,,,,,,,,,,,,12407,,486,12893,17487,
30,VERACRUZ,160,TEMPOAL,30,47,596,3779,141,275,713,896,2755,243,186,,,7035,250,70,178,45,5,4,83,34,16,29,,,,,,,,,,,,,,,17333,1,538,17872,25441,
30,VERACRUZ,161,TENAMPA,3,9,34,19,1,1218,29,89,453,285,,,3,,54,2043,1,0,0,0,44,5,40,0,,,,,,,,,,,,,,,4318,0,104,4422,5132,
30,VERACRUZ,162,TENOCHTITLAN,6,10,1,2,1833,40,1412,4,277,,,,1,,36,0,,,,,23,8,0,22,,,,,,,,,,,,,,,3659,0,70,3729,4268,
30,VERACRUZ,163,TEOCELO,9,23,390,469,90,1824,4047,78,1015,299,24,8,210,,38,31,,,,,,,,,,,,,,,,,,,,,,,8523,1,217,8741,12796,
30,VERACRUZ,164,TEPATLAXCO,3,13,1846,1818,,8,7,38,527,911,,2,15,,23,25,,,,,,,,,,,,,,,,,,,,,,,5220,0,76,5296,6679,
30,VERACRUZ,165,TEPETLAN,6,14,26,40,55,93,2485,963,117,2073,14,155,,,8,40,,,,,25,23,0,18,,,,,,,,,,,,,,,6135,0,160,6295,7529,
30,VERACRUZ,166,TEPETZINTLA,9,19,2819,106,22,26,17,3471,937,58,20,,,,59,300,,,,,,,,,,,,,,,,,,,,,,,7835,15,187,8037,10577,
30,VERACRUZ,167,TEQUILA,8,19,1313,307,1091,2354,382,22,252,,264,11,587,71,47,492,,,,,35,31,25,2,,,,,,,,,,,,,,,7286,,286,7572,10410,
30,VERACRUZ,169,TEXCATEPEC,5,14,1532,678,32,1374,,15,1769,190,,,432,,113,,,,,,,,,,,,,,,,,,,,,,,,6135,0,136,6271,7408,
30,VERACRUZ,170,TEXHUACAN,4,8,143,388,19,44,72,18,1172,,1185,,4,,,28,,,,,17,6,4,3,,,,,,,,,,,,,,,3103,,95,3198,4161,
30,VERACRUZ,171,TEXISTEPEC,16,31,180,294,1811,536,31,71,1573,3398,27,,,32,41,72,85,3,16,6,,,,,,,,,,,,,,,,,,,8176,1,195,8372,14282,
30,VERACRUZ,172,TEZONAPA,35,74,1050,3789,178,6498,566,2225,4315,,89,,25,2964,,163,167,41,7,12,,,,,,,,,,,,,,,,,,,22089,2,756,22847,39310,
30,VERACRUZ,173,TIERRA BLANCA,67,133,11388,894,170,251,367,5754,17608,236,64,,28,208,259,554,,,,,232,10,28,49,,,,,,,,,,,,,,,38100,8,926,39034,73928,
30,VERACRUZ,174,TIHUATLAN,49,118,957,1461,15959,249,1258,250,11465,,426,60,,,1402,369,285,17,55,70,,,,,,,,,,,,,,,,,,,34283,941,1099,36323,66923,
30,VERACRUZ,179,TLACHICHILCO,9,16,1785,1847,10,244,81,64,2180,128,29,,,38,,29,,,,,35,7,16,6,,,,,,,,,,,,,,,6499,1,141,6641,8293,
30,VERACRUZ,175,TLACOJALPAN,4,7,11,173,4,41,925,19,839,14,125,,2,19,27,365,,,,,,,,,,,,,,,,,,,,,,,2564,,155,2719,3569,
30,VERACRUZ,176,TLACOLULAN,6,14,64,97,78,26,58,24,175,169,24,47,2301,167,3163,28,6,0,2,1,0,0,1,1,,,,,,,,,,,,,,,6432,0,209,6641,8077,
30,VERACRUZ,177,TLACOTALPAN,13,22,179,39,41,720,161,2671,1527,61,25,1100,,429,70,32,3,0,0,0,,,,,,,,,,,,,,,,,,,7058,0,201,7259,10418,
30,VERACRUZ,178,TLACOTEPEC DE MEJIA,2,6,3,3,,12,24,153,109,4,1316,1109,2,,3,,,,,,,,,7,,,,,,,,,,,,,,,2745,0,26,2771,3304,
30,VERACRUZ,180,TLALIXCOYAN,27,56,3904,3643,1508,381,99,3185,3510,742,324,,43,316,104,615,,,,,,,,,,,,,,,,,,,,,,,18374,9,561,18944,28505,
30,VERACRUZ,181,TLALNELHUAYOCAN,5,22,246,2282,32,266,1736,119,3984,78,35,11,,123,86,,110,15,0,3,,,,,,,,,,,,,,,,,,,9126,1,186,9313,13744,
30,VERACRUZ,25,TLALTETELA,6,22,1516,2431,1503,23,69,1180,1734,356,19,16,9,60,62,0,,,,,5,4,1,21,,,,,,,,,,,,,,,9009,2,226,9237,11740,
30,VERACRUZ,182,TLAPACOYAN,34,84,1593,672,181,290,219,1651,6218,1146,262,34,375,6013,1509,153,113,31,4,0,63,13,27,16,,,,,,,,,,,,,,,20583,11,550,21144,43895,
30,VERACRUZ,183,TLAQUILPA,3,9,41,37,29,32,1168,671,81,,1522,,48,,31,78,,,,,22,14,0,10,,,,,,,,,,,,,,,3784,,180,3964,5491,
30,VERACRUZ,184,TLILAPAN,2,7,60,13,215,7,31,942,363,2,895,,5,15,707,7,,,,,3,0,1,5,,,,,,,,,,,,,,,3271,,63,3334,4101,
30,VERACRUZ,185,TOMATLAN,4,9,475,16,1266,9,1331,400,152,346,,,9,,,19,,,,,,,,,,,,,,,,,,,,,,,4023,,89,4112,5449,
30,VERACRUZ,186,TONAYAN,3,7,3,1372,1,20,54,4,19,,1332,0,0,125,8,13,,,,,1,1,0,1,,,,,,,,,,,,,,,2954,0,79,3033,4282,
30,VERACRUZ,187,TOTUTLA,10,22,2227,569,1802,3204,56,527,746,38,13,5,,210,,22,,,,,64,24,72,2,,,,,,,,,,,,,,,9581,0,242,9823,12939,
