ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,NAP,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD_PCPP_PSI_NAP,PAN_PRI_PRD_PCPP_PSI,PAN_PRI_PRD_PCPP_NAP,PAN_PRI_PRD_PSI_NAP,PAN_PRI_PCPP_PSI_NAP,PAN_PRD_PCPP_PSI_NAP,PRI_PRD_PCPP_PSI_NAP,PAN_PRI_PRD_PCPP,PAN_PRI_PRD_PSI,PAN_PRI_PRD_NAP,PAN_PRI_PCPP_PSI,PAN_PRI_PCPP_NAP,PAN_PRI_PSI_NAP,PAN_PRD_PCPP_PSI,PAN_PRD_PCPP_NAP,PAN_PRD_PSI_NAP,PAN_PCPP_PSI_NAP,PRI_PRD_PCPP_PSI,PRI_PRD_PCPP_NAP,PRI_PRD_PSI_NAP,PRI_PCPP_PSI_NAP,PRD_PCPP_PSI_NAP,PAN_PRI_PRD,PAN_PRI_PCPP,PAN_PRI_PSI,PAN_PRI_NAP,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PRD_NAP,PAN_PCPP_PSI,PAN_PCPP_NAP,PAN_PSI_NAP,PRI_PRD_PCPP,PRI_PRD_PSI,PRI_PRD_NAP,PRI_PCPP_PSI,PRI_PCPP_NAP,PRI_PSI_NAP,PRD_PCPP_PSI,PRD_PCPP_NAP,PRD_PSI_NAP,PT_PCPP_MORENA,PT_PCPP_NAP,PT_PSI_MORENA,PT_MORENA_NAP,PCPP_PSI_NAP,PAN_PRI,PAN_PRD,PAN_PCPP,PAN_PSI,PAN_NAP,PRI_PRD,PRI_PCPP,PRI_PSI,PRI_NAP,PRD_PCPP,PRD_PSI,PRD_NAP,PT_PVEM,PT_PCPP,PT_PSI,PT_NAP,PVEM_PCPP,PVEM_PSI,PVEM_NAP,MC_PSI,PCPP_PSI,PCPP_MORENA,PCPP_NAP,PSI_MORENA,PSI_NAP,MORENA_NAP,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,25,AYOTOXCO DE GUERRERO,4,10,901,684,6,138,1382,21,5,0,460,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,4233,0,91,4324,6274,
21,PUEBLA,44,CUETZALAN DEL PROGRESO,20,57,2607,8658,68,213,4741,1275,164,590,565,967,148,88,501,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,20638,42,1003,21683,33879,
21,PUEBLA,77,HUEYAPAN,5,15,0,2465,30,645,0,43,0,0,524,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,5755,3,185,5943,8800,
21,PUEBLA,78,HUEYTAMALCO,15,38,5905,4592,33,295,38,41,0,58,1164,64,47,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,12292,1,394,12687,20172,
21,PUEBLA,90,JONOTLA,3,7,14,670,15,0,474,348,3,0,84,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2676,0,78,2754,3620,
21,PUEBLA,157,TENAMPULCO,8,12,95,1247,25,51,16,1041,0,0,1564,32,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,4085,0,123,4208,5379,
21,PUEBLA,172,TETELES DE AVILA CASTILLO,2,7,118,46,5,1127,12,9,88,14,1010,721,129,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3464,2,50,3516,4608,
21,PUEBLA,186,TLATLAUQUITEPEC,25,66,1598,6110,240,1328,168,452,137,3921,4857,172,2931,691,1764,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,,,,,,,,,,,,25363,5,999,26367,39811,
21,PUEBLA,192,TUZAMAPAN DE GALEANA,3,8,34,9,1401,944,16,172,540,0,36,401,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,3699,0,103,3802,4678,
21,PUEBLA,204,YAONAHUAC,4,10,9,46,1185,704,205,193,0,270,34,1730,91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,4501,1,149,4651,5857,
