ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,NASLP,PES,RSP,FXM,PAN_PRI_PRD_PCP,PAN_PRI_PRD,PAN_PRI_PCP,PAN_PRD_PCP,PRI_PRD_PCP,PAN_PRI,PAN_PRD,PAN_PCP,PRI_PRD,PRI_PCP,PRD_PCP,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,28,,,,157,3659,,9,176,16,,,,,,,,,,1928,,,3057,,401,,9403,1,241,9645,13064,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,19,142,126,516,8,1663,108,,223,119,1886,,,105,30,1,4,3,6,18,5,9,7,7,,,4986,1,170,5157,7650,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,97,146,23,15,103,5,555,222,897,196,116,147,4,6,2,2,,2,1,,,,1,6,,2546,3,66,2615,4003,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,54,244,5537,54,5041,4591,68,359,251,40,,,,239,63,12,2,6,61,1,1,16,17,1,1458,,18062,2,411,18475,27971,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,70,,,,219,794,,5627,269,104,247,297,,,,,,,,9950,,,7907,,160,,25574,,987,26561,38714,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,28,4838,,,30,214,,,,27,,,,,,,,,,,,,3589,,6,,8704,1,322,9027,12349,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,95,2327,11,24,59,5,1737,474,42,,224,,90,37,10,1,2,29,,,4,5,,7,,5183,7,177,5367,9046,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,44,809,2167,130,271,3710,110,,6546,310,2460,,71,121,40,15,,5,69,9,4,4,6,8,465,,17330,,640,17970,24603,
24,SAN LUIS POTOSI,55,XILITLA,47,72,8786,,,106,1162,,209,9456,116,,,,,,,,2209,,,,,,,107,,22151,7,1124,23282,36084,
24,SAN LUIS POTOSI,56,ZARAGOZA,22,37,48,1742,543,581,1634,1624,1912,350,469,385,2705,88,,,,,,,,,,,,373,,12454,,492,12946,19502,
24,SAN LUIS POTOSI,57,EL NARANJO,17,29,,,,123,65,,808,814,326,21,,,,,,,,,727,,,1966,,33,4539,9422,15,284,9721,15033,
24,SAN LUIS POTOSI,58,MATLAPA,17,40,,446,,3320,2560,,,438,88,,,174,,,,,,,,7388,,,,967,,15381,1,615,15997,22088,
